workout_id,workout_title,workout_date,workout_start_time,workout_end_time,workout_duration_minutes,exercise_title,exercise_notes,exercise_template_id,exercise_template_type,superset_id,set_index,set_type,weight_kg,weight_lbs,reps,distance_meters,duration_seconds,rpe,workout_notes
9b9c9e29-5026-42f2-b0b4-d0d6aab29a20,Bench and balance,2026-01-25,2026-01-25T01:47:58+00:00,2026-01-25T02:32:32+00:00,44.6,Dead Hang,,,,,0,normal,,,,,70,,
9b9c9e29-5026-42f2-b0b4-d0d6aab29a20,Bench and balance,2026-01-25,2026-01-25T01:47:58+00:00,2026-01-25T02:32:32+00:00,44.6,Bench Press (Barbell),,,,,0,normal,61.235042773811365,135.0,8,,,,
9b9c9e29-5026-42f2-b0b4-d0d6aab29a20,Bench and balance,2026-01-25,2026-01-25T01:47:58+00:00,2026-01-25T02:32:32+00:00,44.6,Bench Press (Barbell),,,,,1,normal,83.91468824559335,185.0,6,,,,
9b9c9e29-5026-42f2-b0b4-d0d6aab29a20,Bench and balance,2026-01-25,2026-01-25T01:47:58+00:00,2026-01-25T02:32:32+00:00,44.6,Bench Press (Barbell),,,,,2,normal,92.98654643430615,205.0,4,,,,
9b9c9e29-5026-42f2-b0b4-d0d6aab29a20,Bench and balance,2026-01-25,2026-01-25T01:47:58+00:00,2026-01-25T02:32:32+00:00,44.6,Bench Press (Barbell),,,,,3,normal,102.05840462301894,225.0,1,,,,
9b9c9e29-5026-42f2-b0b4-d0d6aab29a20,Bench and balance,2026-01-25,2026-01-25T01:47:58+00:00,2026-01-25T02:32:32+00:00,44.6,Bench Press (Barbell),,,,,4,normal,83.91468824559335,185.0,6,,,,
9b9c9e29-5026-42f2-b0b4-d0d6aab29a20,Bench and balance,2026-01-25,2026-01-25T01:47:58+00:00,2026-01-25T02:32:32+00:00,44.6,Single Leg Romanian Deadlift (Barbell),,,,,0,normal,20.41168092460379,45.0,6,,,,
9b9c9e29-5026-42f2-b0b4-d0d6aab29a20,Bench and balance,2026-01-25,2026-01-25T01:47:58+00:00,2026-01-25T02:32:32+00:00,44.6,Single Leg Romanian Deadlift (Barbell),,,,,1,normal,20.41168092460379,45.0,5,,,,
9b9c9e29-5026-42f2-b0b4-d0d6aab29a20,Bench and balance,2026-01-25,2026-01-25T01:47:58+00:00,2026-01-25T02:32:32+00:00,44.6,Single Leg Romanian Deadlift (Barbell),,,,,2,normal,20.41168092460379,45.0,6,,,,
9b9c9e29-5026-42f2-b0b4-d0d6aab29a20,Bench and balance,2026-01-25,2026-01-25T01:47:58+00:00,2026-01-25T02:32:32+00:00,44.6,Plank,Copenhagne knee on bench,,,,0,normal,,,,,30,,
9b9c9e29-5026-42f2-b0b4-d0d6aab29a20,Bench and balance,2026-01-25,2026-01-25T01:47:58+00:00,2026-01-25T02:32:32+00:00,44.6,Plank,Copenhagne knee on bench,,,,1,normal,,,,,30,,
9b9c9e29-5026-42f2-b0b4-d0d6aab29a20,Bench and balance,2026-01-25,2026-01-25T01:47:58+00:00,2026-01-25T02:32:32+00:00,44.6,Plank,Copenhagne knee on bench,,,,2,normal,,,,,30,,
9b9c9e29-5026-42f2-b0b4-d0d6aab29a20,Bench and balance,2026-01-25,2026-01-25T01:47:58+00:00,2026-01-25T02:32:32+00:00,44.6,Triceps Rope Pushdown,,,,,0,normal,40.82336184920758,90.0,15,,,,
9b9c9e29-5026-42f2-b0b4-d0d6aab29a20,Bench and balance,2026-01-25,2026-01-25T01:47:58+00:00,2026-01-25T02:32:32+00:00,44.6,Triceps Rope Pushdown,,,,,1,normal,45.35929094356398,100.0,15,,,,
9b9c9e29-5026-42f2-b0b4-d0d6aab29a20,Bench and balance,2026-01-25,2026-01-25T01:47:58+00:00,2026-01-25T02:32:32+00:00,44.6,Triceps Rope Pushdown,,,,,2,normal,49.895220037920375,110.0,15,,,,
9b9c9e29-5026-42f2-b0b4-d0d6aab29a20,Bench and balance,2026-01-25,2026-01-25T01:47:58+00:00,2026-01-25T02:32:32+00:00,44.6,Face Pull,,,,,0,normal,27.215574566138386,60.0,15,,,,
9b9c9e29-5026-42f2-b0b4-d0d6aab29a20,Bench and balance,2026-01-25,2026-01-25T01:47:58+00:00,2026-01-25T02:32:32+00:00,44.6,Face Pull,,,,,1,normal,27.215574566138386,60.0,15,,,,
9b9c9e29-5026-42f2-b0b4-d0d6aab29a20,Bench and balance,2026-01-25,2026-01-25T01:47:58+00:00,2026-01-25T02:32:32+00:00,44.6,Face Pull,,,,,2,normal,31.75150366049478,70.0,15,,,,
782e0129-1fa8-4dc7-8208-c5dd3cd517db,Squat and stability,2026-01-22,2026-01-22T00:46:15+00:00,2026-01-22T01:45:41+00:00,59.4,Dead Hang,,,,,0,normal,,,,,60,,
782e0129-1fa8-4dc7-8208-c5dd3cd517db,Squat and stability,2026-01-22,2026-01-22T00:46:15+00:00,2026-01-22T01:45:41+00:00,59.4,Squat (Barbell),,,,,0,normal,83.91468824559335,185.0,5,,,,
782e0129-1fa8-4dc7-8208-c5dd3cd517db,Squat and stability,2026-01-22,2026-01-22T00:46:15+00:00,2026-01-22T01:45:41+00:00,59.4,Squat (Barbell),,,,,1,normal,83.91468824559335,185.0,5,,,,
782e0129-1fa8-4dc7-8208-c5dd3cd517db,Squat and stability,2026-01-22,2026-01-22T00:46:15+00:00,2026-01-22T01:45:41+00:00,59.4,Squat (Barbell),,,,,2,normal,83.91468824559335,185.0,5,,,,
782e0129-1fa8-4dc7-8208-c5dd3cd517db,Squat and stability,2026-01-22,2026-01-22T00:46:15+00:00,2026-01-22T01:45:41+00:00,59.4,Bulgarian Split Squat,,,,,0,normal,20.41168092460379,45.0,6,,,,
782e0129-1fa8-4dc7-8208-c5dd3cd517db,Squat and stability,2026-01-22,2026-01-22T00:46:15+00:00,2026-01-22T01:45:41+00:00,59.4,Bulgarian Split Squat,,,,,1,normal,20.41168092460379,45.0,6,,,,
782e0129-1fa8-4dc7-8208-c5dd3cd517db,Squat and stability,2026-01-22,2026-01-22T00:46:15+00:00,2026-01-22T01:45:41+00:00,59.4,Bulgarian Split Squat,,,,,2,normal,20.41168092460379,45.0,6,,,,
782e0129-1fa8-4dc7-8208-c5dd3cd517db,Squat and stability,2026-01-22,2026-01-22T00:46:15+00:00,2026-01-22T01:45:41+00:00,59.4,Calf Press (Machine),,,,,0,normal,163.29344739683032,360.0,20,,,,
782e0129-1fa8-4dc7-8208-c5dd3cd517db,Squat and stability,2026-01-22,2026-01-22T00:46:15+00:00,2026-01-22T01:45:41+00:00,59.4,Calf Press (Machine),,,,,1,normal,163.29344739683032,360.0,20,,,,
782e0129-1fa8-4dc7-8208-c5dd3cd517db,Squat and stability,2026-01-22,2026-01-22T00:46:15+00:00,2026-01-22T01:45:41+00:00,59.4,Calf Press (Machine),,,,,2,normal,163.29344739683032,360.0,20,,,,
782e0129-1fa8-4dc7-8208-c5dd3cd517db,Squat and stability,2026-01-22,2026-01-22T00:46:15+00:00,2026-01-22T01:45:41+00:00,59.4,Lateral Raise (Dumbbell),,,,,0,normal,5.669911367945497,12.5,15,,,,
782e0129-1fa8-4dc7-8208-c5dd3cd517db,Squat and stability,2026-01-22,2026-01-22T00:46:15+00:00,2026-01-22T01:45:41+00:00,59.4,Lateral Raise (Dumbbell),,,,,1,normal,5.669911367945497,12.5,15,,,,
782e0129-1fa8-4dc7-8208-c5dd3cd517db,Squat and stability,2026-01-22,2026-01-22T00:46:15+00:00,2026-01-22T01:45:41+00:00,59.4,Lateral Raise (Dumbbell),,,,,2,normal,5.669911367945497,12.5,15,,,,
782e0129-1fa8-4dc7-8208-c5dd3cd517db,Squat and stability,2026-01-22,2026-01-22T00:46:15+00:00,2026-01-22T01:45:41+00:00,59.4,Hammer Curl (Dumbbell),,,,,0,normal,15.87575183024739,35.0,10,,,,
782e0129-1fa8-4dc7-8208-c5dd3cd517db,Squat and stability,2026-01-22,2026-01-22T00:46:15+00:00,2026-01-22T01:45:41+00:00,59.4,Hammer Curl (Dumbbell),,,,,1,normal,15.87575183024739,35.0,10,,,,
782e0129-1fa8-4dc7-8208-c5dd3cd517db,Squat and stability,2026-01-22,2026-01-22T00:46:15+00:00,2026-01-22T01:45:41+00:00,59.4,Hammer Curl (Dumbbell),,,,,2,normal,15.87575183024739,35.0,10,,,,
782e0129-1fa8-4dc7-8208-c5dd3cd517db,Squat and stability,2026-01-22,2026-01-22T00:46:15+00:00,2026-01-22T01:45:41+00:00,59.4,Wall Sit,,,,,0,normal,,,,,45,,
782e0129-1fa8-4dc7-8208-c5dd3cd517db,Squat and stability,2026-01-22,2026-01-22T00:46:15+00:00,2026-01-22T01:45:41+00:00,59.4,Wall Sit,,,,,1,normal,,,,,45,,
cb5320ee-6574-4d21-a755-619314a07fe0,OHP Strength & Tricep Horseshoe,2026-01-14,2026-01-14T00:21:08+00:00,2026-01-14T01:20:45+00:00,59.6,Air Bike,,,,,0,normal,,,,,300,,
cb5320ee-6574-4d21-a755-619314a07fe0,OHP Strength & Tricep Horseshoe,2026-01-14,2026-01-14T00:21:08+00:00,2026-01-14T01:20:45+00:00,59.6,Warm Up,,,,,0,normal,,,,,120,,
cb5320ee-6574-4d21-a755-619314a07fe0,OHP Strength & Tricep Horseshoe,2026-01-14,2026-01-14T00:21:08+00:00,2026-01-14T01:20:45+00:00,59.6,Dead Hang,,,,,0,normal,,,,,99,,
cb5320ee-6574-4d21-a755-619314a07fe0,OHP Strength & Tricep Horseshoe,2026-01-14,2026-01-14T00:21:08+00:00,2026-01-14T01:20:45+00:00,59.6,Scapular Pull Ups,,,,,0,normal,,,10,,,,
cb5320ee-6574-4d21-a755-619314a07fe0,OHP Strength & Tricep Horseshoe,2026-01-14,2026-01-14T00:21:08+00:00,2026-01-14T01:20:45+00:00,59.6,Scapular Pull Ups,,,,,1,normal,,,10,,,,
cb5320ee-6574-4d21-a755-619314a07fe0,OHP Strength & Tricep Horseshoe,2026-01-14,2026-01-14T00:21:08+00:00,2026-01-14T01:20:45+00:00,59.6,Goblet Squat,,,,,0,normal,20.41168092460379,45.0,10,,,,
cb5320ee-6574-4d21-a755-619314a07fe0,OHP Strength & Tricep Horseshoe,2026-01-14,2026-01-14T00:21:08+00:00,2026-01-14T01:20:45+00:00,59.6,Goblet Squat,,,,,1,normal,20.41168092460379,45.0,10,,,,
cb5320ee-6574-4d21-a755-619314a07fe0,OHP Strength & Tricep Horseshoe,2026-01-14,2026-01-14T00:21:08+00:00,2026-01-14T01:20:45+00:00,59.6,Overhead Press (Barbell),,,,,0,normal,20.41168092460379,45.0,10,,,,
cb5320ee-6574-4d21-a755-619314a07fe0,OHP Strength & Tricep Horseshoe,2026-01-14,2026-01-14T00:21:08+00:00,2026-01-14T01:20:45+00:00,59.6,Overhead Press (Barbell),,,,,1,normal,43.091326396385774,95.0,8,,,,
cb5320ee-6574-4d21-a755-619314a07fe0,OHP Strength & Tricep Horseshoe,2026-01-14,2026-01-14T00:21:08+00:00,2026-01-14T01:20:45+00:00,59.6,Overhead Press (Barbell),,,,,2,normal,47.62725549074217,105.0,6,,,,
cb5320ee-6574-4d21-a755-619314a07fe0,OHP Strength & Tricep Horseshoe,2026-01-14,2026-01-14T00:21:08+00:00,2026-01-14T01:20:45+00:00,59.6,Overhead Press (Barbell),,,,,3,normal,52.16318458509857,115.0,4,,,,
cb5320ee-6574-4d21-a755-619314a07fe0,OHP Strength & Tricep Horseshoe,2026-01-14,2026-01-14T00:21:08+00:00,2026-01-14T01:20:45+00:00,59.6,Overhead Press (Barbell),,,,,4,normal,61.235042773811365,135.0,1,,,,
cb5320ee-6574-4d21-a755-619314a07fe0,OHP Strength & Tricep Horseshoe,2026-01-14,2026-01-14T00:21:08+00:00,2026-01-14T01:20:45+00:00,59.6,Overhead Press (Barbell),,,,,5,normal,43.091326396385774,95.0,5,,,,
cb5320ee-6574-4d21-a755-619314a07fe0,OHP Strength & Tricep Horseshoe,2026-01-14,2026-01-14T00:21:08+00:00,2026-01-14T01:20:45+00:00,59.6,Overhead Press (Barbell),,,,,6,normal,43.091326396385774,95.0,5,,,,
cb5320ee-6574-4d21-a755-619314a07fe0,OHP Strength & Tricep Horseshoe,2026-01-14,2026-01-14T00:21:08+00:00,2026-01-14T01:20:45+00:00,59.6,Face Pull,,,,1,0,normal,18.14371637742559,40.0,20,,,,
cb5320ee-6574-4d21-a755-619314a07fe0,OHP Strength & Tricep Horseshoe,2026-01-14,2026-01-14T00:21:08+00:00,2026-01-14T01:20:45+00:00,59.6,Face Pull,,,,1,1,normal,18.14371637742559,40.0,20,,,,
cb5320ee-6574-4d21-a755-619314a07fe0,OHP Strength & Tricep Horseshoe,2026-01-14,2026-01-14T00:21:08+00:00,2026-01-14T01:20:45+00:00,59.6,Face Pull,,,,1,2,normal,18.14371637742559,40.0,20,,,,
cb5320ee-6574-4d21-a755-619314a07fe0,OHP Strength & Tricep Horseshoe,2026-01-14,2026-01-14T00:21:08+00:00,2026-01-14T01:20:45+00:00,59.6,Upright Row (Cable),,,,0,0,normal,36.28743275485118,80.0,20,,,,
cb5320ee-6574-4d21-a755-619314a07fe0,OHP Strength & Tricep Horseshoe,2026-01-14,2026-01-14T00:21:08+00:00,2026-01-14T01:20:45+00:00,59.6,Upright Row (Cable),,,,0,1,normal,45.35929094356398,100.0,20,,,,
cb5320ee-6574-4d21-a755-619314a07fe0,OHP Strength & Tricep Horseshoe,2026-01-14,2026-01-14T00:21:08+00:00,2026-01-14T01:20:45+00:00,59.6,Upright Row (Cable),,,,0,2,normal,45.35929094356398,100.0,10,,,,
cb5320ee-6574-4d21-a755-619314a07fe0,OHP Strength & Tricep Horseshoe,2026-01-14,2026-01-14T00:21:08+00:00,2026-01-14T01:20:45+00:00,59.6,Overhead Triceps Extension (Cable),,,,0,0,normal,45.35929094356398,100.0,20,,,,
cb5320ee-6574-4d21-a755-619314a07fe0,OHP Strength & Tricep Horseshoe,2026-01-14,2026-01-14T00:21:08+00:00,2026-01-14T01:20:45+00:00,59.6,Overhead Triceps Extension (Cable),,,,0,1,normal,45.35929094356398,100.0,20,,,,
cb5320ee-6574-4d21-a755-619314a07fe0,OHP Strength & Tricep Horseshoe,2026-01-14,2026-01-14T00:21:08+00:00,2026-01-14T01:20:45+00:00,59.6,Overhead Triceps Extension (Cable),,,,0,2,normal,45.35929094356398,100.0,20,,,,
d272dcf1-01d3-47f5-bf4c-150c6e780ac2,Squat Strength & Bicep Hypertrophy,2026-01-07,2026-01-07T20:30:41+00:00,2026-01-08T01:31:46+00:00,301.1,Rowing Machine,,,,,0,normal,,,,0,18000,,
d272dcf1-01d3-47f5-bf4c-150c6e780ac2,Squat Strength & Bicep Hypertrophy,2026-01-07,2026-01-07T20:30:41+00:00,2026-01-08T01:31:46+00:00,301.1,Dead Hang,,,,,0,normal,,,,,65,,
d272dcf1-01d3-47f5-bf4c-150c6e780ac2,Squat Strength & Bicep Hypertrophy,2026-01-07,2026-01-07T20:30:41+00:00,2026-01-08T01:31:46+00:00,301.1,TKE's,,,,,0,normal,,,20,,,,
d272dcf1-01d3-47f5-bf4c-150c6e780ac2,Squat Strength & Bicep Hypertrophy,2026-01-07,2026-01-07T20:30:41+00:00,2026-01-08T01:31:46+00:00,301.1,Tib raises,,,,,0,normal,,,20,,,,
d272dcf1-01d3-47f5-bf4c-150c6e780ac2,Squat Strength & Bicep Hypertrophy,2026-01-07,2026-01-07T20:30:41+00:00,2026-01-08T01:31:46+00:00,301.1,Squat (Barbell),,,,,0,normal,20.41168092460379,45.0,10,,,,
d272dcf1-01d3-47f5-bf4c-150c6e780ac2,Squat Strength & Bicep Hypertrophy,2026-01-07,2026-01-07T20:30:41+00:00,2026-01-08T01:31:46+00:00,301.1,Squat (Barbell),,,,,1,normal,61.235042773811365,135.0,5,,,,
d272dcf1-01d3-47f5-bf4c-150c6e780ac2,Squat Strength & Bicep Hypertrophy,2026-01-07,2026-01-07T20:30:41+00:00,2026-01-08T01:31:46+00:00,301.1,Squat (Barbell),,,,,2,normal,83.91468824559335,185.0,3,,,,
d272dcf1-01d3-47f5-bf4c-150c6e780ac2,Squat Strength & Bicep Hypertrophy,2026-01-07,2026-01-07T20:30:41+00:00,2026-01-08T01:31:46+00:00,301.1,Squat (Barbell),,,,,3,normal,102.05840462301894,225.0,1,,,,
d272dcf1-01d3-47f5-bf4c-150c6e780ac2,Squat Strength & Bicep Hypertrophy,2026-01-07,2026-01-07T20:30:41+00:00,2026-01-08T01:31:46+00:00,301.1,Squat (Barbell),,,,,4,normal,120.20212100044454,265.0,2,,,,
d272dcf1-01d3-47f5-bf4c-150c6e780ac2,Squat Strength & Bicep Hypertrophy,2026-01-07,2026-01-07T20:30:41+00:00,2026-01-08T01:31:46+00:00,301.1,Squat (Barbell),,,,,5,normal,120.20212100044454,265.0,2,,,,
d272dcf1-01d3-47f5-bf4c-150c6e780ac2,Squat Strength & Bicep Hypertrophy,2026-01-07,2026-01-07T20:30:41+00:00,2026-01-08T01:31:46+00:00,301.1,Squat (Barbell),,,,,6,normal,129.27397918915733,285.0,1,,,,
d272dcf1-01d3-47f5-bf4c-150c6e780ac2,Squat Strength & Bicep Hypertrophy,2026-01-07,2026-01-07T20:30:41+00:00,2026-01-08T01:31:46+00:00,301.1,Squat (Barbell),,,,,7,normal,102.05840462301894,225.0,5,,,,
d272dcf1-01d3-47f5-bf4c-150c6e780ac2,Squat Strength & Bicep Hypertrophy,2026-01-07,2026-01-07T20:30:41+00:00,2026-01-08T01:31:46+00:00,301.1,Squat (Barbell),,,,,8,normal,102.05840462301894,225.0,5,,,,
d272dcf1-01d3-47f5-bf4c-150c6e780ac2,Squat Strength & Bicep Hypertrophy,2026-01-07,2026-01-07T20:30:41+00:00,2026-01-08T01:31:46+00:00,301.1,Leg Press (Machine),,,,,0,normal,163.29344739683032,360.0,10,,,,
d272dcf1-01d3-47f5-bf4c-150c6e780ac2,Squat Strength & Bicep Hypertrophy,2026-01-07,2026-01-07T20:30:41+00:00,2026-01-08T01:31:46+00:00,301.1,Leg Press (Machine),,,,,1,normal,163.29344739683032,360.0,10,,,,
d272dcf1-01d3-47f5-bf4c-150c6e780ac2,Squat Strength & Bicep Hypertrophy,2026-01-07,2026-01-07T20:30:41+00:00,2026-01-08T01:31:46+00:00,301.1,Leg Press (Machine),,,,,2,normal,163.29344739683032,360.0,10,,,,
d272dcf1-01d3-47f5-bf4c-150c6e780ac2,Squat Strength & Bicep Hypertrophy,2026-01-07,2026-01-07T20:30:41+00:00,2026-01-08T01:31:46+00:00,301.1,Bicep Curl (Barbell),,,,,0,normal,34.01946820767298,75.0,10,,,,
